sample,condition
u1013662,False
u1031306,False
u1051646,False
u10830,False
u111830,False
u118871,False
u12303,False
u14724,False
u149303,False
u15161,False
u15499,False
u15992,False
u16025,False
u164307,False
u16477,False
u16483,False
u1680,False
u17071,False
u17107,False
u17125,False
u17442,False
u17460,False
u17854,False
u1831,False
u18450,False
u18463,False
u18583,False
u189209,False
u18951,False
u19445,False
u1958,False
u19626,False
u19742,False
u19952,False
u20448,False
u2133,False
u21349,False
u21450,False
u21558,False
u217989,False
u22509,False
u22735,False
u23058,False
u232730,False
u23531,False
u23650,False
u238213,False
u239287,False
u24121,False
u24285,False
u24454,False
u25133,False
u25189,False
u253503,False
u2539,False
u2562,False
u259922,False
u26670,False
u2740,False
u29403,False
u29504,False
u29610,False
u307751,False
u3171,False
u3243,False
u3250,False
u3278,False
u3632,False
u36766,False
u3729,False
u37868,False
u37877,False
u38034,False
u387312,False
u389350,False
u39811,False
u400723,False
u4011,False
u413034,False
u416424,False
u419816,False
u4497,False
u452313,False
u4543,False
u460607,False
u473002,False
u483645,False
u486314,False
u4902,False
u492552,False
u501640,False
u514679,False
u5172,False
u5284,False
u561267,False
u562401,False
u569572,False
u582294,False
u583895,False
u6152,False
u617110,False
u6173,False
u628596,False
u6346,False
u6359,False
u6381,False
u648909,False
u649358,False
u6497,False
u653854,False
u654834,False
u658409,False
u659542,False
u6622,False
u6734,False
u688967,False
u696611,False
u703495,False
u703612,False
u733204,False
u7358,False
u736734,False
u743088,False
u7529,False
u754,False
u7892,False
u7986,False
u8030,False
u8055,False
u811277,False
u812996,False
u814919,False
u821211,False
u823254,False
u8238,False
u827875,False
u8408,False
u851981,False
u8520,False
u885735,False
u896319,False
u905860,False
u906831,False
u913280,False
u915510,False
u916774,False
u916935,False
u942877,False
u9527,False
u956923,False
u972008,False
u972337,False
u978470,False
u988516,False
u994,False
u99531,False
u9975,False
u997851,False
